Event Name,Event Date,Event Time,Event Link,Event Price,Event Image
"Staffs and Black Country","Wed, 18/06/2025, 9:30 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/staffs-and-black-country-3aJ8P2WpV","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCLQQNUN67CVDYNJE3NQK2QX2UN4"
"Chichester In-Person Networking","Wed, 18/06/2025, 10:00 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/chichester-in-person-networking-3aJ8P2UcP","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCREUVRO7O4NCCFPM5ZRYCHWWP7A"
"Northern Ireland In-Person Networking","Wed, 18/06/2025, 10:30 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/northern-ireland-in-person-networking-3aJ8P2LIz","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MC3CWZHBNBHJAJFGI454PTFXFZNQ"
"Durham Networking with NetWORK notWORK and FSB","Wed, 18/06/2025, 3:00 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/durham-networking-with-network-notwork-and-fsb-3aJ8P2XGv","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MC75R2ZZAU5JAEJEJ64QPB5G36OE"
"Health, wellbeing and personal development for small businesses","Wed, 18/06/2025, 4:30 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/health-wellbeing-and-personal-development-for-small-businesses-3aJ8P2Ufd","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCNYSQGWB4PNBK3BI4VCZIEYAVCI"
"Network Chester","Wed, 18/06/2025, 5:00 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/network-chester-3aJ8P2WzB","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCOXSALPAASZBY7PK66YWPZ6FINI"
"Bakewell In-Person Networking","Wed, 18/06/2025, 5:00 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/bakewell-in-person-networking-3aJ8P2R9t","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCOXSALPAASZBY7PK66YWPZ6FINI"
"East of England Virtual Networking","Thu, 19/06/2025, 9:00 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/east-of-england-virtual-networking-3aJ8P2UKf","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCZKY33Q7BERD6DN6PU4YAURK2D4"
"cancelled: East Yorkshire & Humber virtual networking","Thu, 19/06/2025, 11:00 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/cancelled-east-yorkshire-and-humber-virtual-networking-3aJ8P2WCn","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCY2NR3KRBJFFQHHPPK7VUNSMEFA"
"Somerset and Wiltshire Virtual Networking","Thu, 19/06/2025, 11:00 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/somerset-and-wiltshire-virtual-networking-3aJ8P2Vi9","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MC3IDRH5TMZJDQNF4VIU4QD5F4LA"
"Northern Ireland Virtual Networking","Thu, 19/06/2025, 12:30 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/northern-ireland-virtual-networking-3aJ8P2Uvl","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCCWLSVCD2ANFU5DSLFR4TSUPLNY"
"Scotland Virtual Networking","Thu, 19/06/2025, 2:00 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/scotland-virtual-networking-3aJ8P2U7l","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCBDBRSTDMNRB75JYQ4MUKKNCAOQ"
"Cornwall Conversations Virtual Networking","Thu, 19/06/2025, 2:30 PM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/cornwall-conversations-virtual-networking-3aJ8P2QIf","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MCLHLSHKNGJBBD3D7BPWP3G6JLUI"
"Balsall Business Club In-Person Networking Event","Fri, 20/06/2025, 7:15 AM","","https://events.fsb.org.uk/en/8d2bI2X7/g/fJqTd8nh8e/balsall-business-club-in-person-networking-event-3aJ8P2WPh","Free","https://media.blackthorn.io/image/fetch/$w_184,$h_92/f_auto,q_auto,t_opt,d_missing-image-01.jpg/https%3A//www.fsb.org.uk/sfsites/c/cms/delivery/media/MC3E4D7QFOFZHTNFHWT5FKGZGGHM"
